project,PMID,Title,llm_suggest,overall_score,disease_score,population_score,location_score,evidence_score,parameter_score,confidence,pub_types,overall_justification,Abstract
covid19/reproduction_number/p7,32952299,Forecast analysis of the epidemics trend of COVID-19 in the USA by a generalized fractional-order SEIR model.,unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly derives R0 for COVID-19 using a SEIR model with real data from the USA. However, it is a modeling study without original empirical data collection, scoring low on original evidence. The other dimensions (disease, population, location, parameter) are strongly supported.","In this paper, a generalized fractional-order SEIR model is proposed, denoted by SEIQRP model, which divided the population into susceptible, exposed, infectious, quarantined, recovered and insusceptible individuals and has a basic guiding significance for the prediction of the possible outbreak of infectious diseases like the coronavirus disease in 2019 (COVID-19) and other insect diseases in the future. Firstly, some qualitative properties of the model are analyzed. The basic reproduction numb"
covid19/reproduction_number/p7,32727547,Impact of lockdown on COVID-19 epidemic in Île-de-France and possible exit strategies.,unlikely_candidate,3,4,4,4,1,4,1.0,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to the research question as it estimates the basic reproduction number (R0) of COVID-19 in a real-world setting (Île-de-France). It scores high on disease, population, location, and parameter relevance. However, it is a modeling study and does not present original empirical data from human subjects, resulting in a low score on original evidence. The study provides explicit R0 estimates and is directly relevant to the research question.","BACKGROUND: More than half of the global population is under strict forms of social distancing. Estimating the expected impact of lockdown and exit strategies is critical to inform decision makers on the management of the COVID-19 health crisis. METHODS: We use a stochastic age-structured transmission model integrating data on age profile and social contacts in Île-de-France to (i) assess the epidemic in the region, (ii) evaluate the impact of lockdown, and (iii) propose possible exit strategies"
covid19/reproduction_number/p7,32834573,Insights into the dynamics and control of COVID-19 infection rates.,unlikely_candidate,2,4,3,3,1,2,0.7,Journal Article,"The study is relevant to COVID-19 and uses real-world data, but it is a modeling study without original empirical data collection, and the target parameter (R0) is only indirectly referenced as 'effective reproduction number'.","This work aims to model, simulate and provide insights into the dynamics and control of COVID-19 infection rates. Using an established epidemiological model augmented with a time-varying disease transmission rate allows daily model calibration using COVID-19 case data from countries around the world. This hybrid model provides predictive forecasts of the cumulative number of infected cases. It also reveals the dynamics associated with disease suppression, demonstrating the time to reduce the eff"
covid19/reproduction_number/p7,32864913,"Mass Infection Analysis of COVID-19 Using the SEIRD Model in Daegu-Gyeongbuk of Korea from April to May, 2020.",unlikely_candidate,3,4,4,4,4,2,0.8,Journal Article,"The study is highly relevant to COVID-19, human populations, and a real-world location, and presents original empirical data. However, it does not explicitly report the basic reproduction number (R0), making it uncertain for the target parameter.","BACKGROUND: The novel coronavirus (coronavirus disease 2019 [COVID-19]) outbreak began in China in December last year, and confirmed cases began occurring in Korea in mid-February 2020. Since the end of February, the rate of infection has increased greatly due to mass (herd) infection within religious groups and nursing homes in the Daegu and Gyeongbuk regions. This mass infection has increased the number of infected people more rapidly than was initially expected; the epidemic model based on ex"
covid19/reproduction_number/p7,32684175,"Mathematical model describing CoViD-19 in São Paulo, Brazil - evaluating isolation as control mechanism and forecasting epidemiological scenarios of release.",unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly estimates R0 for COVID-19 in a real-world population. However, it is a modeling study without original empirical data collection, which reduces its score on the original evidence dimension.","In São Paulo, Brazil, the first case of coronavirus disease 2019 (CoViD-19) was confirmed on 26 February, the first death due to CoViD-19 was registered on 16 March, and on 24 March, São Paulo implemented the isolation of persons in non-essential activities. A mathematical model was formulated based on non-linear ordinary differential equations considering young (60 years old or less) and elder (60 years old or more) subpopulations, aiming to describe the introduction and dissemination of the ne"
covid19/reproduction_number/p7,32891155,"Mathematical models for devising the optimal SARS-CoV-2 strategy for eradication in China, South Korea, and Italy.",unlikely_candidate,3,4,4,4,1,4,1.0,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to the research question as it explicitly estimates R0 for COVID-19 in multiple real-world locations. However, it is a modeling study without original empirical data, which limits its evidence type.","BACKGROUND: Coronavirus disease 2019 (COVID-19), which is caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), spreads rapidly and has attracted worldwide attention. METHODS: To improve the forecast accuracy and investigate the spread of SARS-CoV-2, we constructed four mathematical models to numerically estimate the spread of SARS-CoV-2 and the efficacy of eradication strategies. RESULTS: Using the Susceptible-Exposed-Infected-Removed (SEIR) model, and including measures such "
covid19/reproduction_number/p7,32415422,"Modeling COVID-19 and Its Impacts on U.S. Immigration and Customs Enforcement (ICE) Detention Facilities, 2020.",unlikely_candidate,3,4,4,4,1,4,0.9,"Journal Article; Research Support, N.I.H., Extramural","The study is highly relevant to COVID-19, human populations, and geographic context, and explicitly reports R0 values. However, it is a modeling study without original empirical data, scoring low on original evidence. The parameter relevance is strong, making it potentially useful for the systematic review despite the modeling approach.","U.S. Immigration and Customs Enforcement (ICE) facilities house thousands of undocumented immigrants in environments discordant with the public health recommendations to reduce the transmission of 2019 novel coronavirus (COVID-19). Using ICE detainee population data obtained from the ICE Enforcement and Removal Operations (ERO) website as of March 2, 2020, we implemented a simple stochastic susceptible-exposed-infected-recovered model to estimate the rate of COVID-19 transmission within 111 ICE "
covid19/reproduction_number/p7,32342242,Outbreak dynamics of COVID-19 in China and the United States.,unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to the research question (COVID-19, human population, geographic context, R0 reported), but it is a modeling study without original empirical data, which limits its contribution to estimating R0 from real-world data.","On March 11, 2020, the World Health Organization declared the coronavirus disease 2019, COVID-19, a global pandemic. In an unprecedented collective effort, massive amounts of data are now being collected worldwide to estimate the immediate and long-term impact of this pandemic on the health system and the global economy. However, the precise timeline of the disease, its transmissibility, and the effect of mitigation strategies remain incompletely understood. Here we integrate a global network mo"
covid19/reproduction_number/p7,32367739,Outbreak dynamics of COVID-19 in Europe and the effect of travel restrictions.,unlikely_candidate,3,4,4,4,3,2,0.8,Journal Article,"The study is highly relevant to COVID-19, human populations, and Europe, and presents original modeling work using real-world data. However, it does not explicitly report the basic reproduction number (R0), which is the target parameter of the research question. The parameter is only indirectly related to outbreak dynamics.","For the first time in history, on March 17, 2020, the European Union closed all its external borders in an attempt to contain the spreading of the coronavirus 2019, COVID-19. Throughout two past months, governments around the world have implemented massive travel restrictions and border control to mitigate the outbreak of this global pandemic. However, the precise effects of travel restrictions on the outbreak dynamics of COVID-19 remain unknown. Here we combine a global network mobility model w"
covid19/reproduction_number/p7,32987515,Predicting the cumulative number of cases for the COVID-19 epidemic in China from early data.,unlikely_candidate,3,4,4,4,1,4,0.9,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to COVID-19, human populations, and China, and it addresses the basic reproduction number. However, it is a modeling study without original empirical data collection, which reduces its score on the original evidence dimension.","We model the COVID-19 coronavirus epidemic in China. We use early reported case data to predict the cumulative number of reported cases to a final size. The key features of our model are the timing of implementation of major public policies restricting social movement, the identification and isolation of unreported cases, and the impact of asymptomatic infectious cases."
covid19/reproduction_number/p7,32875176,Replicating and projecting the path of COVID-19 with a model-implied reproduction number.,unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to COVID-19, human populations, and real-world locations, and it explicitly addresses the reproduction number. However, it is a modeling study that does not present original empirical data, which limits its score on that dimension.","We demonstrate a methodology for replicating and projecting the path of COVID-19 using a simple epidemiology model. We fit the model to daily data on the number of infected cases in China, Italy, the United States, and Brazil. These four countries can be viewed as representing different stages, from later to earlier, of a COVID-19 epidemic cycle. We solve for a model-implied effective reproduction number R t each day so that the model closely replicates the daily number of currently infected cas"
covid19/reproduction_number/p7,32327608,Spread and dynamics of the COVID-19 epidemic in Italy: Effects of emergency containment measures.,unlikely_candidate,3,4,4,4,1,4,1.0,"Journal Article; Research Support, Non-U.S. Gov't; Video-Audio Media","The study is highly relevant to COVID-19, human populations, and the basic reproduction number, with a clear geographic focus. However, it is a modeling study without original empirical data collection, which reduces its score on the original evidence dimension.","The spread of coronavirus disease 2019 (COVID-19) in Italy prompted drastic measures for transmission containment. We examine the effects of these interventions, based on modeling of the unfolding epidemic. We test modeling options of the spatially explicit type, suggested by the wave of infections spreading from the initial foci to the rest of Italy. We estimate parameters of a metacommunity Susceptible-Exposed-Infected-Recovered (SEIR)-like transmission model that includes a network of 107 pro"
covid19/reproduction_number/p7,32498655,"The role of asymptomatic class, quarantine and isolation in the transmission of COVID-19.",unlikely_candidate,3,4,4,3,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly calculates and estimates the basic reproduction number (R0) for COVID-19 using a deterministic model and data from the Wuhan outbreak. However, it is a modeling study without original empirical data collection, which limits its score on the original evidence dimension.","We formulate a deterministic epidemic model for the spread of Corona Virus Disease (COVID-19). We have included asymptomatic, quarantine and isolation compartments in the model, as studies have stressed upon the importance of these population groups on the transmission of the disease. We calculate the basic reproduction number [Formula: see text] and show that for [Formula: see text] the disease dies out and for [Formula: see text] the disease is endemic. Using sensitivity analysis we establish "
covid19/reproduction_number/p7,32987502,The within-host viral kinetics of SARS-CoV-2.,unlikely_candidate,3,4,3,0,3,4,0.9,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to the research question as it explicitly estimates the basic reproduction number of SARS-CoV-2 using original empirical data from human patients. However, it lacks geographic context and the data source is not fully detailed.","In this work, we use a within-host viral dynamic model to describe the SARS-CoV-2 kinetics in the host. Chest radiograph score data are used to estimate the parameters of that model. Our result shows that the basic reproductive number of SARS-CoV-2 in host growth is around 3.79. Using the same method we also estimate the basic reproductive number of MERS virus is 8.16 which is higher than SARS-CoV-2. The PRCC method is used to analyze the sensitivities of model parameters. Moreover, the drug eff"
covid19/reproduction_number/p7,32959788,Using posterior predictive distributions to analyse epidemic models: COVID-19 in Mexico City.,unlikely_candidate,3,4,4,4,3,2,0.8,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to COVID-19, human populations, and a real-world location, and presents original empirical analysis. However, it does not explicitly report the basic reproduction number (R0), making its direct relevance to the research question uncertain.","Epidemiological models usually contain a set of parameters that must be adjusted based on available observations. Once a model has been calibrated, it can be used as a forecasting tool to make predictions and to evaluate contingency plans. It is customary to employ only point estimators of model parameters for such predictions. However, some models may fit the same data reasonably well for a broad range of parameter values, and this flexibility means that predictions stemming from them will vary"
covid19/reproduction_number/p7,32836816,"Using traveller-derived cases in Henan Province to quantify the spread of COVID-19 in Wuhan, China.",unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly estimates the basic reproduction number (R0) of COVID-19 using real-world data from Wuhan, China. However, it is a modeling study without original empirical data collection, which limits its score on the original evidence dimension.","Wuhan shutdown was implemented on January 23 and the first level response to public health emergencies (FLRPHE) was launched over the country, and then China got the outbreak of COVID-19 under control. A mathematical model is established to study the transmission of COVID-19 in Wuhan. This research investigates the spread of COVID-19 in Wuhan and assesses the effectiveness of control measures including the Wuhan city travel ban and FLRPHE. Based on the dynamical analysis and data fitting, the tr"
covid19/reproduction_number/p7,32046137,Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions.,unlikely_candidate,3,4,4,3,1,4,0.9,Journal Article,"The study is highly relevant to COVID-19 and explicitly estimates the basic reproduction number (R0) in a real-world geographic context. However, it is a modeling study without original empirical data collection, which reduces its score on the original evidence dimension. The combination of strong disease, population, and parameter relevance with moderate location relevance and low original evidence yields an overall moderate relevance for the systematic review.","Since the emergence of the first cases in Wuhan, China, the novel coronavirus (2019-nCoV) infection has been quickly spreading out to other provinces and neighboring countries. Estimation of the basic reproduction number by means of mathematical modeling can be helpful for determining the potential and severity of an outbreak and providing critical information for identifying the type of disease interventions and intensity. A deterministic compartmental model was devised based on the clinical pr"
covid19/reproduction_number/p7,32355435,Mathematical modeling of the spread of the coronavirus disease 2019 (COVID-19) taking into account the undetected infections. The case of China.,unlikely_candidate,3,4,4,4,3,2,0.7,Journal Article,"The study is highly relevant to COVID-19, human populations, and real-world location, and presents original modeling work. However, it does not explicitly report the basic reproduction number (R0) in the title or abstract, making its direct relevance to the research question uncertain.","In this paper we develop a mathematical model for the spread of the coronavirus disease 2019 (COVID-19). It is a new θ-SEIHRD model (not a SIR, SEIR or other general purpose model), which takes into account the known special characteristics of this disease, as the existence of infectious undetected cases and the different sanitary and infectiousness conditions of hospitalized people. In particular, it includes a novel approach that considers the fraction θ of detected cases over the real total i"
covid19/reproduction_number/p7,34053269,Novel coronavirus 2019-nCoV (COVID-19): early estimation of epidemiological parameters and epidemic size estimates.,unlikely_candidate,3,4,4,4,1,4,1.0,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to COVID-19, human populations, and the R0 parameter, but it is a modeling-only study without original empirical data from human subjects, scoring low on original evidence.","Since it was first identified, the epidemic scale of the recently emerged novel coronavirus (2019-nCoV) in Wuhan, China, has increased rapidly, with cases arising across China and other countries and regions. Using a transmission model, we estimate a basic reproductive number of 3.11 (95% CI, 2.39-4.13), indicating that 58-76% of transmissions must be prevented to stop increasing. We also estimate a case ascertainment rate in Wuhan of 5.0% (95% CI, 3.6-7.4). The true size of the epidemic may be "
covid19/reproduction_number/p7,32322691,The transmissibility of novel Coronavirus in the early stages of the 2019-20 outbreak in Wuhan: Exploring initial point-source exposure sizes and durations using scenario analysis.,unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly estimates R0 for COVID-19 in a real-world setting (Wuhan). However, it is a modeling study without original empirical data, which may limit its direct applicability for systematic review inclusion depending on criteria.","Background: The current novel coronavirus outbreak appears to have originated from a point-source exposure event at Huanan seafood wholesale market in Wuhan, China. There is still uncertainty around the scale and duration of this exposure event. This has implications for the estimated transmissibility of the coronavirus and as such, these potential scenarios should be explored. Methods: We used a stochastic branching process model, parameterised with available data where possible and otherwise i"
covid19/reproduction_number/p7,32735581,A data-driven model to describe and forecast the dynamics of COVID-19 transmission.,unlikely_candidate,3,4,4,4,3,2,0.8,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to COVID-19, human populations, and real-world locations, and presents original modeling analysis. However, it does not explicitly report R0 or basic reproduction number, making it tangential to the specific research question.","This paper proposes a dynamic model to describe and forecast the dynamics of the coronavirus disease COVID-19 transmission. The model is based on an approach previously used to describe the Middle East Respiratory Syndrome (MERS) epidemic. This methodology is used to describe the COVID-19 dynamics in six countries where the pandemic is widely spread, namely China, Italy, Spain, France, Germany, and the USA. For this purpose, data from the European Centre for Disease Prevention and Control (ECDC)"
covid19/reproduction_number/p7,32836817,A fractional-order SEIHDR model for COVID-19 with inter-city networked coupling effects.,unlikely_candidate,3,4,4,4,1,4,1.0,Journal Article; Review,"The study is highly relevant to the research question as it explicitly addresses COVID-19, uses human population data from multiple real-world locations, and focuses on the basic reproduction number R0. However, it is not an original empirical study due to its classification as a Review, which limits its contribution of new primary data.","In the end of 2019, a new type of coronavirus first appeared in Wuhan. Through the real-data of COVID-19 from January 23 to March 18, 2020, this paper proposes a fractional SEIHDR model based on the coupling effect of inter-city networks. At the same time, the proposed model considers the mortality rates (exposure, infection and hospitalization) and the infectivity of individuals during the incubation period. By applying the least squares method and prediction-correction method, the proposed sys"
covid19/reproduction_number/p7,32111262,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus.,unlikely_candidate,3,4,4,2,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly estimates R0 for COVID-19 using a mathematical model. However, it lacks original empirical data, being a modeling study, which reduces its score on the original evidence dimension. The location relevance is moderate due to the theoretical nature of the model.","BACKGROUND: As reported by the World Health Organization, a novel coronavirus (2019-nCoV) was identified as the causative virus of Wuhan pneumonia of unknown etiology by Chinese authorities on 7 January, 2020. The virus was named as severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) by International Committee on Taxonomy of Viruses on 11 February, 2020. This study aimed to develop a mathematical model for calculating the transmissibility of the virus. METHODS: In this study, we develop"
covid19/reproduction_number/p7,32233562,"A mathematical model for the novel coronavirus epidemic in Wuhan, China.",unlikely_candidate,3,4,4,4,1,4,0.9,"Journal Article; Research Support, N.I.H., Extramural","The study is highly relevant to COVID-19, human population, and Wuhan location, and explicitly mentions the basic reproduction number. However, it is a modeling study using publicly reported data, not original empirical evidence, which reduces its score on that dimension.","We propose a mathematical model to investigate the current outbreak of the coronavirus disease 2019 (COVID-19) in Wuhan, China. Our model describes the multiple transmission pathways in the infection dynamics, and emphasizes the role of the environmental reservoir in the transmission and spread of this disease. Our model also employs non-constant transmission rates which change with the epidemiological status and environmental conditions and which reflect the impact of the on-going disease contr"
covid19/reproduction_number/p7,32958091,A model of COVID-19 transmission to understand the effectiveness of the containment measures: application to data from France.,unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to the research question as it explicitly estimates R0 for COVID-19 using French data. However, it is a modeling study without original empirical data, which may limit its direct applicability for estimating R0 from primary data.","The main objective of this paper is to address the following question: are the containment measures imposed by most of the world governments effective and sufficient to stop the epidemic of COVID-19 beyond the lock-down period? In this paper, we propose a mathematical model which allows us to investigate and analyse this problem. We show by means of the reproductive number, ${\cal R}_0$ that the containment measures appear to have slowed the growth of the outbreak. Nevertheless, these measures r"
covid19/reproduction_number/p7,32837814,A SIR-Poisson Model for COVID-19: Evolution and Transmission Inference in the Maghreb Central Regions.,unlikely_candidate,3,4,4,4,3,2,0.8,Journal Article,"The study is highly relevant to COVID-19, human populations, and a real-world location, and uses original data. However, it does not explicitly report the basic reproduction number (R0), instead reporting a related contact parameter, making it partially relevant to the target parameter.","2019-nCoV is a virulent virus belonging to the coronavirus family that caused the new pneumonia (COVID-19) which has spread internationally very rapidly and has become pandemic. In this research paper, we set forward a statistical model called SIR-Poisson that predicts the evolution and the global spread of infectious diseases. The proposed SIR-Poisson model is able to predict the range of the infected cases in a future period. More precisely, it is used to infer the transmission of the COVID-19"
covid19/reproduction_number/p7,32536762,"Coronavirus pandemic: A predictive analysis of the peak outbreak epidemic in South Africa, Turkey, and Brazil.",unlikely_candidate,3,4,4,4,1,4,0.9,Journal Article,"The study is highly relevant to COVID-19, human populations, and geographic locations, and explicitly mentions the basic reproduction number. However, it is a modeling study without original empirical data, which reduces its score on the original evidence dimension.","In this research, we are interested in predicting the epidemic peak outbreak of the Coronavirus in South Africa, Turkey, and Brazil. Until now, there is no known safe treatment, hence the immunity system of the individual has a crucial role in recovering from this contagious disease. In general, the aged individuals probably have the highest rate of mortality due to COVID-19. It is well known that this immunity system can be affected by the age of the individual, so it is wise to consider an age"
covid19/reproduction_number/p7,32233563,Effect of delay in diagnosis on transmission of COVID-19.,unlikely_candidate,3,4,4,4,1,4,0.9,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant to the research question as it explicitly investigates the basic reproduction number of COVID-19 in a real-world human population (China). However, it is a modeling study without original empirical data, which lowers the original evidence score. The study provides valuable insights into R0 but is not an empirical estimation.","The outbreak of COVID-19 caused by SARS-CoV-2 in Wuhan and other cities of China is a growing global concern. Delay in diagnosis and limited hospital resources lead to a rapid spread of COVID-19. In this study, we investigate the effect of delay in diagnosis on the disease transmission with a new formulated dynamic model. Sensitivity analyses and numerical simulations reveal that, improving the proportion of timely diagnosis and shortening the waiting time for diagnosis can not eliminate COVID-1"
covid19/reproduction_number/p7,32442842,"Modelling the evolution trajectory of COVID-19 in Wuhan, China: experience and suggestions.",unlikely_candidate,3,4,4,4,1,2,0.8,Journal Article,"The study is highly relevant to COVID-19, human populations, and a real-world location, but it is a modeling study without original empirical data and does not explicitly report R0, making it tangential to the specific research question.","OBJECTIVES: In December 2019, a novel coronavirus disease (COVID-19) emerged in Wuhan city, China, which has subsequently led to a global pandemic. At the time of writing, COVID-19 in Wuhan appears to be in the final phase and under control. However, many other countries, especially the US, Italy and Spain, are still in the early phases and dealing with increasing cases every day. Therefore, this article aims to summarise and share the experience of controlling the spread of COVID-19 in Wuhan an"
