project,PMID,Title,llm_suggest,overall_score,disease_score,population_score,location_score,evidence_score,parameter_score,confidence,pub_types,overall_justification,Abstract
covid19/fatality/p4,32234343,Monitoring transmissibility and mortality of COVID-19 in Europe.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study is highly relevant as it directly investigates mortality (CFR) and transmissibility of COVID-19 in European populations using original empirical data. All dimensions score 4, indicating strong alignment with the research question.","OBJECTIVES: As a global pandemic is inevitable, real-time monitoring of transmission is vital for containing the spread of COVID-19. The main objective of this study was to report the real-time effective reproduction numbers (R(t)) and case fatality rates (CFR) in Europe. METHODS: Data for this study were obtained mainly from the World Health Organization website, up to March 9, 2020. R(t) were estimated by exponential growth rate (EG) and time-dependent (TD) methods. 'R0' package in R was emplo"
covid19/fatality/p4,32377387,High-flow Nasal Cannula Oxygenation Revisited in COVID-19.,possible_candidate,3,4,2,2,2,2,0.6,Journal Article; Review,"The title clearly indicates COVID-19 relevance, but due to sparse metadata, the population, location, original evidence, and parameter relevance are uncertain. The study may involve severity outcomes, but this is not explicit.",
covid19/fatality/p4,32339723,Estimating the instant case fatality rate of COVID-19 in China.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study directly addresses the research question by estimating instant case fatality rate of COVID-19 using original empirical data from human cases in China, with strong evidence across all dimensions.","OBJECTIVE: The outbreak of coronavirus disease 2019 (COVID-19) in China has been basically controlled. However, the global epidemic of COVID-19 is worsening. We established a method to estimate the instant case fatality rate (CFR) and cure rate of COVID-19 in China. METHODS: A total of 82 735 confirmed cases released officially by the Chinese authorities from December 8, 2019 to April 18, 2020 were collected. The estimated diagnosis dates of deaths and cured cases were calculated based on the me"
covid19/fatality/p4,32374903,SARS-CoV-2 viral spike G614 mutation exhibits higher case fatality rate.,strong_candidate,4,4,4,3,4,4,0.95,Journal Article,"The study is highly relevant to the research question, directly investigating SARS-CoV-2 infection outcomes (case fatality rate) with original empirical data from human populations in a real-world geographic context.","AIM: The COVID-19 pandemic is caused by infection with the SARS-CoV-2 virus. The major mutation detected to date in the SARS-CoV-2 viral envelope spike protein, which is responsible for virus attachment to the host and is also the main target for host antibodies, is a mutation of an aspartate (D) at position 614 found frequently in Chinese strains to a glycine (G). We sought to infer health impact of this mutation. RESULT: Increased case fatality rate correlated strongly with the proportion of v"
covid19/fatality/p4,32354565,[Case fatality rate of COVID-19: absence of epidemiological pattern].,strong_candidate,4,4,4,4,4,4,1.0,Comparative Study; Journal Article,"The study is highly relevant as it directly investigates fatality outcomes of SARS-CoV-2 infection using real-world human population data across multiple countries, with explicit reporting of case fatality rates and mortality.","OBJECTIVE: Analyze a set of indicators to understand the variability of the evolution and impact of the COVID-19 epidemic in a set of selected countries. METHOD: Ecological study of a group of countries with more than 200 reported cases. Demographic variables, health expenditure variables, and variables about characteristics of health services were included as explanatory variables. and incidence, mortality and fatality rates have been analyzed as response variables. In addition, a relative fata"
covid19/fatality/p4,32198088,Transmission potential and severity of COVID-19 in South Korea.,possible_candidate,3,4,4,4,3,3,0.9,Journal Article,"The study directly addresses COVID-19 transmission and severity in a human population in South Korea, reporting case fatality rates, which aligns with the research question on fatality and severity outcomes.","OBJECTIVES: Since the first case of 2019 novel coronavirus (COVID-19) identified on Jan 20, 2020, in South Korea, the number of cases rapidly increased, resulting in 6284 cases including 42 deaths as of Mar 6, 2020. To examine the growth rate of the outbreak, we present the first study to report the reproduction number of COVID-19 in South Korea. METHODS: The daily confirmed cases of COVID-19 in South Korea were extracted from publicly available sources. By using the empirical reporting delay di"
covid19/fatality/p4,32379502,Estimating The Infection Fatality Rate Among Symptomatic COVID-19 Cases In The United States.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study directly addresses the research question by estimating the infection fatality rate among symptomatic COVID-19 cases in the US, using original empirical data and explicitly reporting mortality outcomes.","Knowing the infection fatality rate (IFR) of novel coronavirus (SARS-CoV-2) infections is essential for the fight against the coronavirus disease (COVID-19) pandemic. Using data through April 20, 2020, I fit a statistical model to COVID-19 case fatality rates over time at the US county level to estimate the COVID-19 IFR among symptomatic cases (IFR-S) as time goes to infinity. The IFR-S in the US was estimated to be 1.3 percent. County-specific rates varied from 0.5 percent to 3.6 percent. The o"
covid19/fatality/p4,32357994,Case Fatality Rate of Cancer Patients with COVID-19 in a New York Hospital System.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study directly addresses the research question by reporting case fatality rates and severity outcomes (ICU support) in cancer patients with COVID-19 in a New York hospital system, using original empirical data.","Patients with cancer are presumed to be at increased risk from COVID-19 infection-related fatality due to underlying malignancy, treatment-related immunosuppression, or increased comorbidities. A total of 218 COVID-19-positive patients from March 18, 2020, to April 8, 2020, with a malignant diagnosis were identified. A total of 61 (28%) patients with cancer died from COVID-19 with a case fatality rate (CFR) of 37% (20/54) for hematologic malignancies and 25% (41/164) for solid malignancies. Six "
covid19/fatality/p4,32753136,Sex Differences in Case Fatality Rate of COVID-19: Insights From a Multinational Registry.,strong_candidate,4,4,4,3,4,4,1.0,"Journal Article; Observational Study; Research Support, Non-U.S. Gov't","This study is highly relevant as it directly investigates fatality outcomes (mortality) of SARS-CoV-2 infection in a human population using original empirical data from a multinational registry, with explicit reporting of case fatality rates and survival analysis.","OBJECTIVES: To confirm whether a relationship exists between male sex and coronavirus disease 2019 (COVID-19) mortality and whether this relationship is age dependent. PATIENTS AND METHODS: We queried the COVID-19 Research Network, a multinational database using the TriNetX network, to identify patients with confirmed COVID-19 infection. The main end point of the study was all-cause mortality. RESULTS: A total of 14,712 patients were included, of whom 6387 (43%) were men. Men were older (mean ag"
covid19/fatality/p4,32774918,Epidemiology of COVID-19 and Predictors of Recovery in the Republic of Korea.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study is highly relevant: it investigates COVID-19 epidemiology in a human population in South Korea, provides original empirical evidence, and explicitly reports case fatality ratio as a fatality outcome.","BACKGROUND: The recent COVID-19 pandemic has emerged as a threat to global health. Though current evidence on the epidemiology of the disease is emerging, very little is known about the predictors of recovery. OBJECTIVES: To describe the epidemiology of confirmed COVID-19 patients in the Republic of Korea and identify predictors of recovery. MATERIALS AND METHODS: Using publicly available data for confirmed COVID-19 cases from the Korea Centers for Disease Control and Prevention from January 20,"
covid19/fatality/p4,32444481,Temporal estimates of case-fatality rate for COVID-19 outbreaks in Canada and the United States.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study directly addresses the research question by estimating case-fatality rates for COVID-19 in Canada and the United States using original empirical data, making it highly relevant across all dimensions.","BACKGROUND: Estimates of the case-fatality rate (CFR) associated with coronavirus disease 2019 (COVID-19) vary widely in different population settings. We sought to estimate and compare the COVID-19 CFR in Canada and the United States while adjusting for 2 potential biases in crude CFR. METHODS: We used the daily incidence of confirmed COVID-19 cases and deaths in Canada and the US from Jan. 31 to Apr. 22, 2020. We applied a statistical method to minimize bias in the crude CFR by accounting for "
covid19/fatality/p4,32473875,Intellectual and developmental disability and COVID-19 case-fatality trends: TriNetX analysis.,strong_candidate,4,4,4,2,4,4,1.0,Journal Article,"The study directly addresses COVID-19 fatality outcomes in a human population using original data, with explicit reporting of case-fatality rates. Location is not specified, but all other dimensions are strongly supported.","BACKGROUND: Despite possibly higher risk of severe outcomes from COVID-19 among people with intellectual and developmental disabilities (IDD), there has been limited reporting of COVID-19 trends for this population. OBJECTIVE: To compare COVID-19 trends among people with and without IDD, overall and stratified by age. METHODS: Data from the TriNetX COVID-19 Research Network platform was used to identify COVID-19 patients. Analysis focused on trends in comorbidities, number of cases, number of de"
covid19/fatality/p4,32301155,COVID-19 in solid organ transplant recipients: A single-center case series from Spain.,strong_candidate,4,4,4,4,4,4,1.0,"Journal Article; Observational Study; Research Support, Non-U.S. Gov't","This study is highly relevant as it provides original empirical evidence on fatality and severity outcomes (case-fatality rate, respiratory failure) of SARS-CoV-2 infection in a specific human population (solid organ transplant recipients) in a real-world setting (Spain).","The clinical characteristics, management, and outcome of coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) after solid organ transplant (SOT) remain unknown. We report our preliminary experience with 18 SOT (kidney [44.4%], liver [33.3%], and heart [22.2%]) recipients diagnosed with COVID-19 by March 23, 2020 at a tertiary-care center at Madrid. Median age at diagnosis was 71.0 ± 12.8 years, and the median interval since transplantation wa"
covid19/fatality/p4,32419720,Understanding COVID-19: Digit ratio (2D:4D) and sex differences in national case fatality rates.,strong_candidate,4,4,4,3,4,4,1.0,Journal Article,"The study directly addresses COVID-19 fatality outcomes (CFR) using original human data from multiple countries, making it highly relevant to the research question.",BACKGROUND: The reported national case fatality rates (CFRs) for coronavirus disease 2019 (COVID-19) shows a sex bias with males > females. The relative lengths of the index (2D) and ring (4D) fingers (digit ratio; 2D:4D) is a sexually dimorphic (males < females) proxy of fetal sex steroids (low 2D:4D indicates high prenatal testosterone/low prenatal estrogen). AIM: To examine sex-specific relationships of 2D:4D per nation with national values of COVID-19 CFRs. STUDY DESIGN: COVID-19 CFRs and th
covid19/fatality/p4,33064699,Measles outbreak during the COVID-19 pandemic in Mexico.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study is highly relevant to the research question as it explicitly reports COVID-19 fatality rates and death counts in a real-world epidemiological context, using original human data. All dimensions score 4 due to clear evidence in the abstract.","Measles is an exanthematous disease caused by a virus of the Morbillivirus genus. On February 23, 2020, the exanthema began in the first confirmed case of measles this year. At the same time, on February 28, 2020, the first case of the new coronavirus disease (COVID-19) was confirmed. Up to June 6, 2020, 176 measles cases have been confirmed: 137 in Mexico City, 37 in the state of Mexico, and two in the state of Campeche. In Mexico City, municipalities with more cases were Gustavo A. Madero, Mig"
covid19/fatality/p4,32175421,Early estimation of the case fatality rate of COVID-19 in mainland China: a data-driven analysis.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,The study directly addresses the research question by estimating CFR for COVID-19 using original empirical data from human populations in real-world settings.,"BACKGROUND: An ongoing outbreak of pneumonia caused by a novel coronavirus [severe acute respiratory syndrome coronavirus (SARS-CoV)-2], named COVID-19, hit a major city of China, Wuhan in December 2019 and subsequently spread to other provinces/regions of China and overseas. Several studies have been done to estimate the basic reproduction number in the early phase of this outbreak, yet there are no reliable estimates of case fatality rate (CFR) for COVID-19 to date. METHODS: In this study, we "
covid19/fatality/p4,33623566,Space-time COVID-19 monitoring in Morocco.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article; Observational Study,The study is highly relevant: it provides original empirical data on COVID-19 fatality and severity outcomes (mortality and case fatality rate) in a real-world human population in Morocco.,"INTRODUCTION: In Morocco, the first case was detected on March 02, 2020. Few days later, new cases are notified, followed by deaths. The government decided to adopt large-scale drastic measures against the epidemic. This study aims to describe and analyse the COVID-19 distribution in Morocco, according to key measures taken to curb this health problem. METHODS: An observational study of all cases daily reported by the Ministry of Health of Morocco from 02 March to 05 May 2020, was carried out. A"
covid19/fatality/p4,33102412,SARS-CoV-2 Infections in the World: An Estimation of the Infected Population and a Measure of How Higher Detection Rates Save Lives.,strong_candidate,4,4,4,4,3,4,0.9,Journal Article,"The study is highly relevant to the research question, focusing on SARS-CoV-2 infection fatality and severity outcomes (deaths) using real-world data and original analysis. It scores high on disease, population, location, and parameter relevance, with a slight deduction for original evidence due to reliance on modeling rather than primary data collection.","This paper provides an estimation of the accumulated detection rates and the accumulated number of infected individuals by the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Worldwide, on July 20, it has been estimated above 160 million individuals infected by SARS-CoV-2. Moreover, it is found that only about 1 out of 11 infected individuals are detected. In an information context in which population-based seroepidemiological studies are not frequently available, this study "
covid19/fatality/p4,32667439,Analysis of COVID-19 under-reporting in Brazil.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study is highly relevant as it directly addresses fatality outcomes (case-fatality ratio) of SARS-CoV-2 infection in a real-world human population (Brazil), using original empirical data.","OBJECTIVE: To estimate the reporting rates of coronavirus disease 2019 (COVID-19) cases for Brazil as a whole and states. METHODS: We estimated the actual number of COVID-19 cases using the reported number of deaths in Brazil and each state, and the expected case-fatality ratio from the World Health Organization. Brazil's expected case-fatality ratio was also adjusted by the population's age pyramid. Therefore, the notification rate can be defined as the number of confirmed cases (notified by th"
covid19/fatality/p4,32592974,Association of particulate matter pollution and case fatality rate of COVID-19 in 49 Chinese cities.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study directly addresses the research question by investigating fatality outcomes (CFR) of SARS-CoV-2 infection in human populations across 49 Chinese cities, using original empirical data.","The COVID-19 epidemic, caused by the SARS-CoV-2 virus, has resulted in 3352 deaths in China as of April 12, 2020. This study aimed to investigate the associations between particulate matter (PM) concentrations and the case fatality rate (CFR) of COVID-19 in 49 Chinese cities, including the epicenter of Wuhan. We used the Global Moran's I to analyze spatial distribution and autocorrelation of CFRs, and then we used multivariate linear regression to analyze the associations between PM2.5 and PM10 "
covid19/fatality/p4,32426362,Covid-19: A Dynamic Analysis of Fatality Risk in Italy.,strong_candidate,4,4,4,4,3,4,0.95,Journal Article,"The study directly addresses fatality outcomes of SARS-CoV-2 infection in Italy, analyzing CFR and death trends with real-world data. It is highly relevant to the research question.","Italy was the second country in the world to face a wide epidemic of Covid-19 after China. The ratio of the number of fatalities to the number of cases (case fatality ratio, CFR) recorded in Italy was surprisingly high and increased in the month of March. The older mean age of population, the changes in testing policy, and the methodological computation of CFR were previously reported as possible explanations for the incremental trend of CFR, a parameter theoretically expected to be constant. In"
covid19/fatality/p4,33843161,"Clinical characteristics and plasma antibody titer of patients with COVID-19 in Zhejiang, China.",possible_candidate,4,4,4,4,4,3,0.9,Journal Article,"The study is highly relevant to COVID-19, human population, and real-world location, and presents original empirical data. However, while it mentions CFR and clinical severity, it does not explicitly report fatality or severity outcomes (e.g., ICU admission, mechanical ventilation) as quantified endpoints in the abstract, leading to a moderate parameter relevance score.","Coronavirus disease 2019 (COVID-19) is an infectious disease caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which first affected humans in China on December 31, 2019 (Shi et al., 2020). Coronaviruses generally cause mild, self-limiting upper respiratory tract infections in humans, such as the common cold, pneumonia, and gastroenteritis (To et al., 2013; Berry et al., 2015; Chan et al., 2015). According to the Report of the World Health Organization (WHO)-China Joint Miss"
covid19/fatality/p4,32525827,Estimating case fatality ratio during COVID-19 epidemics: Pitfalls and alternatives.,possible_candidate,3,4,2,2,1,4,0.7,Journal Article; Comment,"The title and keywords strongly indicate relevance to COVID-19 and case fatality ratio, but the study appears to be a methodological discussion rather than an empirical estimation, and population and location details are not specified. Given title-only screening, relevance to the research question is plausible but uncertain.",
covid19/fatality/p4,32521643,COVID-19 and Congenital Heart Disease: Results from a Nationwide Survey.,possible_candidate,4,4,4,3,4,3,0.9,Journal Article,"The study is highly relevant to COVID-19 fatality and severity outcomes, focusing on a specific high-risk population (CHD patients) and reporting mortality and cardiovascular complications. However, it does not explicitly report ICU admission or mechanical ventilation, which are key severity outcomes.","BACKGROUND: The pandemic of Novel Coronavirus Disease 2019 (COVID-19) is challenging, given the large number of hospitalized patients. Cardiovascular co-morbidities are linked to a higher mortality risk. Thus, patients with Congenital Heart Disease (CHD) might represent a high-risk population. Nevertheless, no data about them are available, yet. Hence, we conducted a nationwide survey to assess clinical characteristics and outcomes in patients with congenital heart disease affected by COVID-19. "
covid19/fatality/p4,32868985,Correlation between immunity from BCG and the morbidity and mortality of COVID-19.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"The study directly addresses COVID-19 fatality and severity outcomes using original country-level data, with explicit reporting of mortality and case fatality rate.","BACKGROUND: To investigate the association between parameters indicating immunity from BCG at country level (presence of BCG vaccination policy, BCG coverage, age-specific incidence of tuberculosis (TB)) and the morbidity and mortality of COVID-19. METHODS: Country-specific data for COVID-19 cases and deaths, demographic details, BCG coverage and policy, age-specific TB incidence and income level were obtained. The crude COVID-19 cases and deaths per 100,000 population were calculated and assess"
covid19/fatality/p4,32913365,Monitoring trends and differences in COVID-19 case-fatality rates using decomposition methods: Contributions of age structure and age-specific fatality.,strong_candidate,4,4,4,4,4,4,1.0,"Journal Article; Research Support, Non-U.S. Gov't","The study is highly relevant as it directly investigates COVID-19 case-fatality rates using original empirical data from human populations across multiple real-world locations, with explicit focus on mortality outcomes.","The population-level case-fatality rate (CFR) associated with COVID-19 varies substantially, both across countries at any given time and within countries over time. We analyze the contribution of two key determinants of the variation in the observed CFR: the age-structure of diagnosed infection cases and age-specific case-fatality rates. We use data on diagnosed COVID-19 cases and death counts attributable to COVID-19 by age for China, Germany, Italy, South Korea, Spain, the United States, and N"
covid19/fatality/p4,32593339,"COVID-19 in children and adolescents in Europe: a multinational, multicentre cohort study.",strong_candidate,4,4,4,4,4,4,1.0,"Journal Article; Multicenter Study; Research Support, Non-U.S. Gov't","This study directly addresses the research question by providing original empirical data on fatality (case-fatality rate) and severity outcomes (ICU admission, mechanical ventilation) of SARS-CoV-2 infection in a large European paediatric cohort.","BACKGROUND: To date, few data on paediatric COVID-19 have been published, and most reports originate from China. This study aimed to capture key data on children and adolescents with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection across Europe to inform physicians and health-care service planning during the ongoing pandemic. METHODS: This multicentre cohort study involved 82 participating health-care institutions across 25 European countries, using a well established rese"
covid19/fatality/p4,32295665,Pandemic March: 2019 Coronavirus Disease's First Wave Circumnavigates the Globe.,possible_candidate,3,4,4,4,3,3,0.9,Journal Article,"The study directly addresses COVID-19 fatality and severity outcomes through global epidemiological data, with explicit mention of case-fatality rate and mortality trends, though evidence is derived from secondary surveillance reports rather than primary data collection.","OBJECTIVE: March 2020 was a pivotal month for the worldwide geographic and numeric expansion of the first wave of Coronavirus Disease 2019 (COVID-19). We examined the major storylines that depicted this explosive spread of COVID-19 around the globe. METHODS: A detailed review of World Health Organization (WHO) situation reports, surveillance summaries, and online resources allowed us to quantify the increases in cases and deaths by region and by country throughout the month of March 2020. RESULT"
covid19/fatality/p4,32600222,"COVID-19, Australia: Epidemiology Report 19 (Fortnightly reporting period ending 21 June 2020).",strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"This study is highly relevant: it directly investigates COVID-19 fatality and severity outcomes using original human surveillance data from Australia, with explicit reporting of deaths, case fatality rate, and severe disease indicators.","Notified cases of COVID-19 and associated deaths reported to the National Notifiable Diseases Surveillance System (NNDSS) to 21 June 2020. Confirmed cases in Australia notified up to 7 June 2020: notifications = 7,491; deaths = 102. The incidence of COVID-19 has markedly reduced since a peak in mid-March. A combination of early case identification, physical distancing, public health measures and a reduction in international travel have been effective in slowing the spread of disease in Australia"
covid19/fatality/p4,32853230,"Characteristics and outcomes of a cohort of COVID-19 patients in the Province of Reggio Emilia, Italy.",strong_candidate,4,4,4,4,4,4,1.0,"Journal Article; Research Support, Non-U.S. Gov't","This study is highly relevant as it directly addresses fatality and severity outcomes of SARS-CoV-2 infection in a human population, with explicit reporting of mortality and hospitalization rates in a real-world setting.","This is a population-based prospective cohort study on archive data describing the age- and sex-specific prevalence of COVID-19 and its prognostic factors. All 2653 symptomatic patients tested positive for SARS-CoV-2 from February 27 to April 2, 2020 in the Reggio Emilia province, Italy, were included. COVID-19 cumulative incidence, hospitalization and death rates, and adjusted hazard ratios (HR) with 95% confidence interval (95% CI) were calculated according to sociodemographic and clinical cha"
covid19/fatality/p4,33062732,"World one-hundred days after COVID-19 outbreak: Incidence, case fatality rate, and trend.",strong_candidate,4,4,4,4,4,4,1.0,Journal Article,The study is highly relevant: it directly addresses COVID-19 fatality (CFR) and severity outcomes using original empirical data from real-world human populations across multiple countries and regions.,"BACKGROUND: The prevalence of viral diseases is on the rise and has caused many problems for public health. COVID-19 is a new viral outbreak in the world. This study aimed to investigate the trends of incidence and case fatality rate (CFR) of COVID-19 in the world by April 30, 2020. METHODS: This was a descriptive-analytical study. We investigated the number of cases and deaths in 35 selected countries and regions of the WHO that had at least 10,000 cases by the time of the study. In addition, t"
covid19/fatality/p4,32224313,The many estimates of the COVID-19 case fatality rate.,possible_candidate,3,4,3,1,1,4,0.7,Letter,"Based on title-only screening, the study is highly relevant to the disease and target parameter, and likely involves human populations. However, the location is unclear, and the evidence appears to be a review or methodological discussion rather than original empirical research. The sparse metadata limits certainty, so the overall relevance is moderate.",
covid19/fatality/p4,32353762,Epidemiological characteristics of coronavirus disease 2019 (COVID-19) patients in IRAN: A single center study.,strong_candidate,4,4,4,4,4,4,1.0,Journal Article,"This study is highly relevant: it focuses on COVID-19, uses original human data from a real-world setting in Iran, and explicitly reports fatality outcomes (CFR, mortality risk factors).","BACKGROUND: An outbreak of COVID-19 in Iran has spread throughout the country. Identifying the epidemiological characteristics of this disease will help to make appropriate decisions and thus control the epidemic. The aim of this study was characterization of the epidemiological features of COVID-19 in Iran. METHODS: In this retrospective study, data related to the epidemiological characteristics of COVID-19 patients admitted to Baqiyatallah Hospital in Tehran, Iran, from 19 February 2020 to 15 "
