pmid,in_modular,in_e2e,modular_pt,e2e_pt,delta,rel_abs_delta,modular_ci,e2e_ci,modular_param,e2e_param,e2e_notes
32460229,True,True,4.6,4.6,0.0,0.0,nan-nan,nan-nan,serial_interval,serial_interval,"Mean 4.60 days with SD 5.55 days. Median 4.00 days (Q1=1.00, Q3=7.00). Range: -13.00 to 21.00 days. Negative serial intervals observed indicating pre-symptomati"
32473049,False,True,,4.55,,,,nan-3.3,,serial_interval,SD of serial interval = 3.30 days. Serial interval used as proxy for generation time. Secondary cases diagnosed by chest CT scan due to limited PCR availability
32512664,True,True,5.54,5.54,0.0,0.0,4.08-7.01,4.08-7.01,serial_interval,serial_interval,"Also reports SD = 3.90 days (95% CI, 2.47 to 5.32). Serial intervals estimated from 28 infector-infectee pairs with clearly identified relationships."
32556265,True,True,5.0,5.0,0.0,0.0,4.4-5.5,4.4-5.5,serial_interval,serial_interval,"Household transmissions. SD estimated as 5.2 days (95% CrI, 4.9–5.7). Median serial interval: 5.0 days (IQR, 1.5–8.8). 25 of 339 pairs had negative-valued seria"
32566233,True,True,5.71,5.71,0.0,0.0,nan-nan,nan-nan,serial_interval,serial_interval,SD = 3.89 days. Median SI = 4.75 days also reported in Discussion. 247 RT-PCR confirmed cases from 22 Feb to 29 Mar; 21 infector–infectee pairs identified from 
32594928,True,True,4.6,4.6,0.0,0.0,3.7-5.5,3.7-5.5,serial_interval,serial_interval,SD 4.4 days (95% CI 3.8–5.0); 10 (7.6%) negative serial intervals observed; observed median 4 days (range -10 to 19 days); 95th percentile 11.8 days (95% CI 9.7
32604404,True,True,7.2,7.2,0.0,0.0,5.9-9.6,5.9-9.6,serial_interval,serial_interval,Headline serial interval estimate for the whole study period. Serial interval defined as time from symptom onset of infector to symptom onset of infectee. Pre-l
32611465,True,True,6.5,6.5,0.0,0.0,4.8-8.2,4.8-8.2,serial_interval,serial_interval,Serial interval estimated from 32 infector-infectee pairs across 16 clusters. Also reported in Table 1 with footnote c specifying the sample size.
32689956,True,True,7.6,7.6,0.0,0.0,6.4-8.9,6.4-8.9,serial_interval,serial_interval,Average serial interval estimated from 38 family clusters with single index case. Median serial interval also reported: 6.0 days (range 0–34; IQR 3.3–11.0). R0 
32694200,True,True,5.1,5.1,0.0,0.0,4.7-5.5,4.7-5.5,serial_interval,serial_interval,"Overall estimate for entire study period. SD: 5.3 (95% CrI: 5.0, 5.6) days. Study also reports period-specific and stratified estimates showing serial interval "
32710618,True,True,2.97,2.97,0.0,0.0,nan-nan,nan-3.29,serial_interval,serial_interval,Also reported: median serial interval = 3 days (SD = 3.29 days); censored positive-only mean = 3.83 days (lognormal distribution); 4 negative serial intervals (
32725765,True,True,4.4,4.4,0.0,0.0,3.3-5.4,3.3-5.4,serial_interval,serial_interval,"Rate of negative-valued SIs at 24.5%; about 9.3% (5/54) of cases had negative SIs or pre-symptomatic transmission. Infectiousness started 2.5 days (95% CI, 1.3–"
32738143,True,True,3.24,3.24,0.0,0.0,1.38-5.1,1.38-5.1,serial_interval,serial_interval,"SD of the distribution: 5.46 days (95% CI: 4.14–6.78 days). An estimated 27.5% (95% CI: 15.7%–40.0%) of the distribution was below zero, suggesting presymptomat"
32767657,True,True,5.7,5.7,0.0,0.0,4.7-6.8,4.7-6.8,serial_interval,serial_interval,Standard deviation reported as 3.5 days. 4 negative serial intervals observed among 80 transmission events. Figure 2B caption mentions gamma distribution but Me
32771634,True,True,3.43,3.43,0.0,0.0,2.62-4.24,2.62-4.24,serial_interval,serial_interval,Data set B; clinical onset serial interval. 11 pairs (10.78%) had negative clinical onset serial intervals.
32776726,True,True,5.2,5.2,0.0,0.0,nan-nan,nan-nan,serial_interval,serial_interval,Mean serial interval ± SD = 5.2 ± 3.8 days. SD reported as 3.8 days. The estimate is based on 116 confirmed cases.
32796323,False,True,,5.1,,,,nan-nan,,serial_interval,SD 5.6 days. Range -3 to 24 days. Median 4 days reported as headline estimate. Two cases had negative serial intervals and two had zero serial interval.
32815514,False,True,,5.4,,,,4.3-6.5,,serial_interval,SD = 4.5; 95% CI approximated using normal distribution; SI range 4–20 days; 4 pairs (6.8%) had negative SI values; Discussion mentions mean SI = 5.39 days; Gam
32928322,True,True,6.9,6.9,0.0,0.0,5.81-8.41,5.81-8.41,serial_interval,serial_interval,Serial interval estimated from 55 pairs of index and secondary cases identified from the first 100 confirmed cases with mandated contact tracing.
33035448,True,True,4.26,4.26,0.0,0.0,nan-nan,nan-nan,serial_interval,serial_interval,SD ±4.27 days; range -4 to 17 days; 4/35 (11.4%) had negative serial interval values; distribution resembled a normal distribution (Appendix Figure 1)
33044319,True,True,4.6,4.6,0.0,0.0,4.2-5.1,4.2-5.1,serial_interval,serial_interval,"SD of 3.5 days (95% CrI = 3.1, 4.0) also reported. 21 asymptomatic cases excluded as serial interval was undefined."
33234640,True,True,7.5,7.5,0.0,0.0,5.3-19.0,5.3-19.0,serial_interval,serial_interval,Very wide CI; small sample size. Median not provided.
33750783,True,True,5.5,5.5,0.0,0.0,0.8-9.4,0.8-9.4,serial_interval,serial_interval,Median: 4.8 days. 14.0% (31/221) of empirical serial intervals were negative (infectee symptom onset preceded infector). Period-stratified estimates: mean 7.0 d
34814093,True,True,6.6,6.6,0.0,0.0,nan-nan,nan-nan,serial_interval,serial_interval,Median 5.5 days. Shape parameter SD 0.26; scale parameter SD 0.04. No direct CI reported for the mean. Sensitivity analyses used alternate serial intervals of m
