pmid,study,region,estimation_period,population,sample_size,method,parameter_type,estimate_measure,point_estimate,unit,uncertainty_type,uncertainty_level,uncertainty_low,uncertainty_high,distribution,notes,evidence_locations,project,ci_95_derived_lower,ci_95_derived_upper,ci_95_source
32611465,Qin et al. 2020,"Lu'an city, Anhui province, China",12 January to 21 February 2020,69 confirmed COVID-19 cases and 11 asymptomatic carriers identified in Lu'an,32 pairs of cases with a clear infector and infectee relationship in 16 clusters,Field epidemiological investigation of clusters; contact tracing via CISDCP and CDC field epidemiology investigation teams,serial_interval,mean,6.5,days,CI,95%,4.8,8.2,,Based on 32 pairs of cases with a clear infector and infectee relationship in 16 clusters. The largest cluster (13 cases) was caused by an asymptomatic carrier.,"['Table 1', 'Results paragraph 2', 'Abstract']",p13,4.8,8.2,reported
32452648,Wang et al. 2020,"Shenzhen, China",19 January to 22 February 2020,"Confirmed COVID-19 cases in Shenzhen, China",27 transmission chains (23 infectees matched with only one infector),"Interval-censored likelihood framework with Weibull, lognormal, and gamma distributions; maximum-likelihood estimation; AICc model comparison",serial_interval,mean,5.9,days,CI,95%,3.9,9.6,Weibull,"Weibull was best-fitting model (AICc=151.8). SD under Weibull: 4.8 days (95% CI: 3.1–10.1). Gamma: mean 5.9 (95% CI: 3.9–9.7), SD 5.0 (95% CI: 3.1–9.7), AICc=152.0. Lognormal: mean 6.5 (95% CI: 3.9–15.1), SD 7.9 (95% CI: 3.9–37.3), AICc=153.5. Observed SIs: mean 5.9, median 4, IQR 2–10, range 1–16 days.","['Abstract', 'Results and Discussion', 'Table 1']",p13,3.9,9.6,reported
32689956,Wang/2020,"Beijing, China",Jan 1st to Apr 3rd 2020,38 family clusters where one single index case was introduced,"38 family clusters, 76 secondary cases among 193 family close contacts",Contact tracing and epidemiological investigation of family clusters,serial_interval,mean,7.6,days,CI,95%,6.4,8.9,,Headline estimate. Median serial interval also reported: 6.0 days (range 0–34; IQR 3.3–11.0). Estimated from 38 family clusters with single index case causing 76 secondary cases among 193 family close contacts.,"['Results - Clusters section', 'Abstract', 'Fig. 4b']",p13,6.4,8.9,reported
32689956,Wang/2020,"Beijing, China",Jan 1st to Apr 3rd 2020,38 family clusters where one single index case was introduced,"38 family clusters, 76 secondary cases among 193 family close contacts",Contact tracing and epidemiological investigation of family clusters,serial_interval,median,6.0,days,IQR,NR,3.3,11.0,,Range 0–34 days. Mean serial interval reported as 7.6 days (95% CI: 6.4–8.9).,"['Results - Clusters section', 'Fig. 4b']",p13,4.1865,7.8135,derived_from_iqr
32366488,Wang/2020,"Wuhan, China (Wuhan Union Hospital)",5 January to 12 February 2020,Healthcare workers with nosocomial COVID-19 infections and their family members,16 cases with serial interval data (9 transmission chains),Contact tracing and epidemiological investigation; COSI estimated via gamma distribution through nine transmission chains,serial_interval,mean,5.2,days,CI,95%,3.8,6.8,gamma,"Clinical onset serial interval (COSI). SD 3.2 days. Median serial interval from Table 1: 4 days (range 2-12, IQR 3-8.5, n=16 total; HCWs median 4 range 3-7 IQR 3.75-5.5 n=6; family members median 3 range 2-12 IQR 2-10.25 n=10).","['Results: Transmission, incubation period and serial interval', 'Figure 2b', 'Table 1']",p13,3.8,6.8,reported
32392331,Wu/2020,"Zhuhai, China","January 17 to February 29, 2020 (enrollment); February 1, 2020 to March 1, 2020 (prospective investigation)",Household contacts of confirmed SARS-CoV-2 index cases,48 secondary cases,Prospective observational household transmission study; parametric regression assuming log-normal distribution,serial_interval,median,5.1,days,CI,95%,4.3,6.2,log-normal,Mean serial interval: 6.3 days. 5th percentile: 1.8 days (95% CI: 1.4-2.4); 95th percentile: 14.8 days (95% CI: 11-19.2). Dispersion parameter: 1.9 (95% CI: 1.65-2.2).,"['Results / Serial interval and incubation period', 'Figure 2 legend', 'Abstract']",p13,4.3,6.2,reported
32284616,Wu et al. 2020,"Wuhan, China",10 December 2019 – 3 January 2020 (case data); 29 January – 4 February 2020 (charter flights),Confirmed COVID-19 cases in Wuhan with no epidemiologic links to Huanan Seafood Wholesale Market; infector–infectee pairs,43 infector–infectee pairs,Age-structured SIR transmission model fitted via Markov chain Monte Carlo with Gibbs sampling and non-informative flat priors; serial interval distribution inferred jointly with other epidemiologic parameters,serial_interval,mean,7.0,days,CrI,95%,5.8,8.1,gamma,Baseline scenario with Psym=0.5. The generation time distribution was assumed to be the same as the serial interval distribution (Assumption 4). SD of serial interval estimated at 4.5 days (95% CrI 3.5–5.5).,"['Results / Figure 3 description', 'Methods / Assumption 4 and Likelihood L8', 'Extended Data Fig. 1']",p13,5.8,8.1,reported
32284616,Wu et al. 2020,"Wuhan, China",10 December 2019 – 3 January 2020 (case data); 29 January – 4 February 2020 (charter flights),Confirmed COVID-19 cases in Wuhan with no epidemiologic links to Huanan Seafood Wholesale Market; infector–infectee pairs,43 infector–infectee pairs,Age-structured SIR transmission model fitted via Markov chain Monte Carlo with Gibbs sampling and non-informative flat priors; serial interval distribution inferred jointly with other epidemiologic parameters,serial_interval,other,4.5,days,CrI,95%,3.5,5.5,gamma,Standard deviation of the serial interval. Baseline scenario with Psym=0.5. The generation time distribution was assumed to be the same as the serial interval distribution (Assumption 4).,"['Results / Figure 3 description', 'Methods / Assumption 4 and Likelihood L8', 'Extended Data Fig. 1']",p13,3.5,5.5,reported
32556265,Xu/2020,Mainland China (outside Hubei province),15 January–29 February 2020,9120 confirmed COVID-19 cases reported by 27 provincial and 264 urban health commissions,662 household transmission pairs,"Reconstruction of transmission pairs from publicly reported case data; serial interval computed as days between symptom onset of primary and secondary cases; normal distribution fitted via MCMC with Gibbs sampling and noninformative flat prior (100000 iterations, burn-in 40000, thinning interval 10)",serial_interval,mean,5.0,days,CrI,95%,4.4,5.5,Normal,"Household transmissions. SD estimated at 5.2 days (95% CrI, 4.9–5.7). Median serial interval 5.0 days (IQR, 1.5–8.5). Alternative distribution fits (Gumbel, logistic) reported in Supplementary Tables 3–5.","['Results paragraph 3', 'Figure 1C', 'Abstract']",p13,4.4,5.5,reported
32556265,Xu/2020,Mainland China (outside Hubei province),15 January–29 February 2020,9120 confirmed COVID-19 cases reported by 27 provincial and 264 urban health commissions,745 nonhousehold transmission pairs,"Reconstruction of transmission pairs from publicly reported case data; serial interval computed as days between symptom onset of primary and secondary cases; normal distribution fitted via MCMC with Gibbs sampling and noninformative flat prior (100000 iterations, burn-in 40000, thinning interval 10)",serial_interval,mean,5.2,days,CrI,95%,4.6,5.8,Normal,"Nonhousehold transmissions. SD estimated at 5.3 days (95% CrI, 4.9–5.7). Median serial interval 5.2 days (IQR, 1.6–8.8). Alternative distribution fits (Gumbel, logistic) reported in Supplementary Tables 3–5.","['Results paragraph 3', 'Figure 1C', 'Abstract']",p13,4.6,5.8,reported
32594928,Yang/2020,"Shiyan city, Hubei province, China",20 January 2020 to 29 February 2020,Confirmed COVID-19 cases identified through contact tracing in Shiyan city,131 infector-infectee pairs,Parametric accelerated failure time models; normal distribution fitted to serial interval; bootstrapped 95% CIs,serial_interval,mean,4.6,days,CI,95%,3.7,5.5,Normal,"Results section specifies mean of 4.6 days; Abstract and Discussion refer to this as median. Under the fitted Normal distribution, mean=median. SD=4.4 days (95% CI 3.8–5.0). Observed median=4 days (range -10 to 19). 10 negative serial intervals (7.6%) observed, indicating presymptomatic transmission. 95th percentile=11.8 days (95% CI 9.7–13.9); 99th percentile=14.8 days (95% CI 12.1–17.5).","['Results / Estimation of incubation period and serial interval', 'Table 2', 'Abstract']",p13,3.7,5.5,reported
32460229,You/2020,China (outside Hubei Province),"Data as of March 31, 2020",Confirmed COVID-19 cases outside Hubei Province in China,198 transmission chains with dates of symptoms onset,Contact tracing and transmission chain inference from publicly available data; serial interval computed from symptom onset dates of infector-infectee pairs,serial_interval,mean,4.6,days,SD,,,,,"Mean 4.60 days with SD 5.55 days. Median 4.00 days (1st quartile 1.00, 3rd quartile 7.00). Range -13.00 to 21.00 days. Negative serial intervals observed, suggesting pre-symptomatic transmission. Empirical distribution used in ML method for R estimation; discretized Gamma prior mentioned as alternative. Generation time not calculated due to insufficient dates of infection.","['Table 1', 'Section 3', 'Abstract']",p13,,,missing
32725765,Bao/2020,"Huaian, Jiangsu Province, China","January 15 – February 6, 2020",COVID-19 cases from a bathing pool cluster outbreak,54 transmission pairs,Gamma distribution fitted to transmission pairs data,serial_interval,mean,4.4,days,CI,95%,3.3,5.4,gamma,"Rate of negative SIs at 24.5%; 9.3% (5/54) of cases had negative SIs or pre-symptomatic transmission. Infectiousness started 2.5 days (95% CI, 1.3–3.0) before symptom onset and peaked at 2.4 days (95% CI, 0.6–3.7) before symptom onset.","['Results / Epidemiological Characteristics', 'Figure 3c', 'Methods / Statistical Analysis']",p13,3.3,5.4,reported
32422201,Böhmer/2020,"Bavaria, Germany","January–February, 2020",Contacts of a single travel-associated primary case (Chinese business visitor) in a company setting and household contacts,16 subsequent cases,"Outbreak investigation with contact tracing, case interviews, and whole genome sequencing to reconstruct transmission events",serial_interval,median,4.0,days,IQR,,3.0,5.0,,"Median serial interval equal to median incubation period (4.0 days, IQR 2.3–4.3). Serial interval derived from transmission pairs in a well-characterized outbreak with four generations of transmission over 16 days. Presymptomatic and day-of-symptom-onset transmission was substantial.","['Results paragraph 5', 'Findings in Abstract', 'Table 1']",p13,3.2741,4.7259,derived_from_iqr
32356867,Cheng/2020,"Taiwan, Mainland China, and others",NR,COVID-19 patients with confirmed transmission links,58 transmission pairs,"Bayesian framework fitting a gamma distribution to observed serial intervals using MCMC (NUTS algorithm in Stan), with 4 chains, 1000 warmup iterations and 500 samples each",serial_interval,median,4.11,days,CrI,95%,0.19,20.39,"Gamma(shape=1.09, scale=5.26)","Overall estimate across all countries and settings. Stratified estimates also reported: Household median 5.23 (95% CrI: 0.74, 17.56); Community median 2.89 (95% CrI: 0, 37.34); Others median 3.26 (95% CrI: 0.1, 18.22) [eTable 1]. By region: Taiwan median 4.1 (95% CrI: 0.06, 27.78); China median 5.03 (95% CrI: 1.46, 12.13); Others median 2.89 (95% CrI: 0.04, 20.64) [eTable 2].","['eTable 3', 'eMethods', 'eFigure 3']",p13,0.19,20.39,reported
32145466,Nishiura/2020,"Multiple locations (China, Germany, and others from published articles and official outbreak investigation reports)",Data collection cutoff 12 February 2020; epidemic growth phase from late 2019,Infector-infectee pairs of COVID-19 cases identified from published research articles and case investigation reports,28 infector-infectee pairs (full dataset); 18 pairs (certain subset); 12 family clusters,"Bayesian approach with doubly interval censored likelihood; right truncation adjustment during exponential growth phase; lognormal, gamma, and Weibull distributions compared using WAIC",serial_interval,median,4.0,days,CrI,95%,3.1,4.9,lognormal,"Main estimate: all 28 pairs with right truncation, lognormal best-fit (WAIC=224.0). Alternative estimates: mean 4.7 days (95% CrI: 3.7, 6.0); SD 2.9 days (95% CrI: 1.9, 4.9). Without right truncation (lognormal, WAIC=128.0): median 3.9 days (95% CrI: 3.1, 4.8). Certain pairs only (n=18) with right truncation (Weibull best-fit): median 4.6 days (95% CI: 3.5, 5.9), mean 4.8 days (95% CrI: 3.8, 6.1), SD 2.3 days (95% CrI: 1.6, 3.5). Certain pairs only without right truncation (lognormal): median 4.1 days (95% CrI: 3.2, 5.0). Exponential growth rate r=0.14 used for right truncation adjustment.","['Abstract', 'Results', 'Figure 1']",p13,3.1,4.9,reported
34814093,Cereda et al. 2020,"Lombardy Region, Italy",20 February – 9 March 2020,Close contacts of confirmed SARS-CoV-2 cases identified through contact tracing,90 infector-infectee pairs (55 unique primary cases),Gamma distribution fitted by maximum likelihood estimation to observed serial intervals from infector-infectee pairs,serial_interval,mean,6.6,days,CI,95%,,,"Gamma (shape 1.87, SD 0.26; scale 0.28, SD 0.04)","Mean serial interval 6.6 days; median 5.5 days also reported. 95% CI shown in Figure S1 as shaded area but numerical bounds not reported in text. Sensitivity analyses used serial intervals of 5.1 days (from Wuhan clusters, ref 12) and 7.5 days (from Chinese provinces outside Hubei, ref 11); Figure S3/S4 captions reference 7.1 days. Of 6,106 reported contacts, 233 resulted in SARS-CoV-2 infection.","['Section 4 (Serial interval distribution)', 'Figure S1', 'Section 6 (Sensitivity analysis on the serial interval)']",p13,,,missing
32035431,Ki/2020,Korea,"January 20, 2020 to February 10, 2020","28 confirmed 2019-nCoV patients in Korea (16 index cases, 9 first-generation, 3 second-generation)",12 first-generation and second-generation patients,Epidemiologic investigation report by KCDC; contact tracing of confirmed cases; serial interval defined as time-interval between symptom-onset of index case and symptom-onset of subsequently infected patient,serial_interval,mean,6.6,days,Range,,3.0,15.0,,Median serial interval also reported as 4.0 days. Generation time equated with serial interval in methods definition: 'The generation time or serial interval means the time-interval between the date of symptom-onset of an index case and the date of symptom-onset of the subsequently infected patient.',"['Table 1', 'Results (serial interval estimate paragraph)', 'Materials and Methods (serial interval definition)']",p13,4.5237,8.6763,derived_from_range
32347198,Kwok/2020,Hong Kong,23 January to 13 February 2020 (case reporting); 18 January to 8 February 2020 (symptom onset),First 53 laboratory-confirmed COVID-19 cases in Hong Kong and their close contacts,"26 infector-infectee paired data (9 probable, 17 certain)","Doubly interval-censored likelihood with Bayesian framework and right truncation; fitted gamma, lognormal, and Weibull distributions; WAIC for model comparison",serial_interval,mean,4.77,days,CrI,95%,3.47,6.9,lognormal,"Best-fit distribution by WAIC (214.7 vs 217.6 and 219.0 for gamma and Weibull). With right truncation adjustment. SD: 4.08 days (95% CrI: 2.26 to 8.05). Alternative estimates: empirical mean 4.58 days (95% bCI: 3.35 to 5.85) from 26 paired data; without right truncation: 4.41 days (95% CrI: 2.46 to 11.15); restricted to 17 certain pairs: empirical 6.06 days, estimated truncated 6.23 days, estimated non-truncated 5.86 days.","['Results / Serial interval', 'Table S2', 'Abstract']",p13,3.47,6.9,reported
32604404,Lavezzo/2020,"Vo', province of Padua, Veneto region, Italy",21 February – 7 March 2020 (whole study period),Residents of Vo' municipality,,Contact tracing and household composition data used to infer transmission pairs; serial interval estimated from observed and inferred symptom onset dates alongside contact information,serial_interval,mean,7.2,days,CI,95%,5.9,9.6,,Headline serial interval estimate for the whole study period. Pre-lockdown mean: 7.6 days (95% CI: 6.4-8.7); post-lockdown mean: 6.2 days (95% CI: 2.6-10.7). Serial interval defined as time from symptom onset of infector to symptom onset of infectee.,"['Abstract', 'Reconstructing transmission chains', 'Extended Data Fig. 4']",p13,5.9,9.6,reported
32604404,Lavezzo/2020,"Vo', province of Padua, Veneto region, Italy",Before 24 February 2020 (pre-lockdown),Residents of Vo' municipality,,Contact tracing and household composition data used to infer transmission pairs; serial interval estimated from observed and inferred symptom onset dates alongside contact information,serial_interval,mean,7.6,days,CI,95%,6.4,8.7,,Pre-lockdown serial interval estimate. Lockdown reduced serial interval from 7.6 to 6.2 days.,"['Reconstructing transmission chains', 'Extended Data Fig. 4']",p13,6.4,8.7,reported
32604404,Lavezzo/2020,"Vo', province of Padua, Veneto region, Italy",After 24 February 2020 (post-lockdown),Residents of Vo' municipality,,Contact tracing and household composition data used to infer transmission pairs; serial interval estimated from observed and inferred symptom onset dates alongside contact information,serial_interval,mean,6.2,days,CI,95%,2.6,10.7,,Post-lockdown serial interval estimate. Wide CI likely reflects smaller sample size in post-lockdown period.,"['Reconstructing transmission chains', 'Extended Data Fig. 4']",p13,2.6,10.7,reported
32771634,Mettler/2020,South Korea,"January 20th and June 30th, 2020",Individuals confirmed to be infected with SARS-CoV-2 in South Korea; infector-infectee pairs,"1,235 infector-infectee pairs (Data set A)",Balanced cluster bootstrap method for 95% confidence intervals,diagnostic_serial_interval,mean,3.63,days,CI,95%,3.24,4.01,,Primary headline estimate. Diagnostic serial interval defined as time between diagnosis dates of infector and infectee. 15 pairs (1.21%) had negative diagnostic serial intervals. Distribution has heavy right tail.,"['Table 1', 'Results paragraph 1', 'Abstract']",p13,3.24,4.01,reported
32771634,Mettler/2020,South Korea,"January 20th and June 30th, 2020",Individuals confirmed to be infected with SARS-CoV-2 in South Korea; infector-infectee pairs with known symptom onset dates,102 infector-infectee pairs (Data set B),Balanced cluster bootstrap method for 95% confidence intervals,serial_interval,mean,3.43,days,CI,95%,2.62,4.24,,Clinical onset serial interval (traditional serial interval). Based on Data set B (subset with known symptom onset dates). 11 pairs (10.78%) had negative clinical onset serial intervals. Rather short compared to previously reported mean values.,"['Table 1', 'Results paragraph 2']",p13,2.62,4.24,reported
32771634,Mettler/2020,South Korea,"January 20th and June 30th, 2020",Individuals confirmed to be infected with SARS-CoV-2 in South Korea; infector-infectee pairs with known symptom onset dates,102 infector-infectee pairs (Data set B),Balanced cluster bootstrap method for 95% confidence intervals,diagnostic_serial_interval,mean,2.31,days,CI,95%,1.48,3.14,,"Diagnostic serial interval from Data set B (subset with known symptom onset dates). Considerably shorter than Data set A estimate (3.63 days), indicating Data set B is a special subset. 4 pairs (3.92%) had negative diagnostic serial intervals.","['Table 1', 'Results paragraph 2']",p13,1.48,3.14,reported
32566233,Najafi/2020,"Kermanshah province, western Iran",22 February to 29 March 2020,"Confirmed, probable and suspected COVID-19 cases in Kermanshah province",21 infector–infectee pairs (12 primary cases and 21 secondary cases),"Contact tracing via telephone follow-up of patients and their contacts; Weibull, log-normal and Gamma distributions fitted using est.GT function in R0 package",serial_interval,mean,5.71,days,SD,,,,Weibull,"SD = 3.89 days; Median SI = 4.75 days reported in Discussion; Weibull provided best fit among log-normal, Weibull and Gamma distributions","['Results - SI for COVID-19', 'Fig. 2', 'Discussion']",p13,,,missing
32512664,Son/2020,"Busan, Korea","February 21, 2020 to March 24, 2020","108 confirmed COVID-19 cases in Busan, Korea",28 infector-infectee pairs (56 cases),Maximum likelihood estimation (MLE) with discretized gamma distribution; parametric bootstrapping using Hessian matrix for 95% CI,serial_interval,mean,5.54,days,CI,95%,4.08,7.01,discretized gamma distribution,"Standard deviation also reported: 3.90 days (95% CI, 2.47 to 5.32). Mean serial interval compared to 4.6 days for first 24 cases in Korea and 5.8 days for 77 pairs in China in Discussion.","['Results / Serial intervals', 'Materials and Methods / Serial intervals', 'Abstract']",p13,4.08,7.01,reported
32247326,Zhang/2020,Provinces outside Hubei in mainland China,"Dec 24, 2019 to Feb 17, 2020",Laboratory-confirmed COVID-19 cases reported outside Hubei in mainland China identified through prospective contact tracing of epidemiologically linked clusters,35 secondary cases and 28 corresponding primary cases (one case removed),Prospective contact tracing of epidemiologically linked clusters; gamma distribution fitted to serial interval data,serial_interval,mean,5.1,days,CI,95%,1.3,11.6,gamma,Sensitivity analysis with different levels of data censoring yielded estimates between 5.0 days (0.8–13.0) and 6.3 days (3.2–10.5). One case who reported onset of symptoms on the same day as the index case was removed from the analysis. Cases with travel history to Wuhan or Hubei were excluded.,"['Results paragraph 4', 'Figure 2', 'Methods / Statistical analysis']",p13,1.3,11.6,reported
32776726,Bae/2020,"Cheonan, Korea (Chunchungnam-do province)","February 24 to March 13, 2020","COVID-19 cases associated with fitness centers (Zumba classes) in Cheonan, Korea","116 confirmed cases; 1,687 contacts traced",Contact tracing and epidemiological investigation; serial interval estimated assuming gamma distribution using R0 package in R,serial_interval,mean,5.2,days,SD,,,,gamma,"Mean serial interval ± SD = 5.2 ± 3.8 days. Serial interval estimated based on assumption of gamma distribution using R0 package in R. Discussion notes other estimates: 7.5 days (Wuhan), 6.6 days (Korea), 4.7 days (pooled data from Nishiura et al.).","['Results paragraph 2', 'Methods / Statistical analysis']",p13,,,missing
32771633,Chun/2020,South Korea,"January 23 to March 31, 2020",Infector-infectee pairs of confirmed COVID-19 patients identified from public reports and contact tracing,69 infector-infectee pairs with symptom onset dates,"Bayesian methods with MCMC algorithm; lognormal, gamma, and Weibull parametric models fitted for serial interval distribution",serial_interval,median,3.56,days,CI,95%,2.72,4.44,lognormal,Best fit by lognormal distribution (log-likelihood -77.5). Gamma median: 3.75 (95% CI 2.87-4.72); Weibull median: 3.93 (95% CI 3.04-4.92).,"['Results paragraph 2', 'Table 2', 'Abstract']",p13,2.72,4.44,reported
32771633,Chun/2020,South Korea,"January 23 to March 31, 2020",Infector-infectee pairs of confirmed COVID-19 patients identified from public reports and contact tracing,72 infector-infectee pairs,Bayesian methods with MCMC algorithm; mixture of shifted gamma and uniform distribution with smoothing,transmission_onset,mean,1.31,days,CI,95%,0.38,2.55,mixture of shifted gamma and uniform,Mean transmission onset 1.31 days (SD 2.64) after symptom onset. Median 0.68 days (95% CI -0.09 to 1.73). Peak at 0.72 days before symptom onset. Pre-symptomatic transmission proportion 37% (95% CI 16-52%).,"['Results paragraph 3', 'Abstract', 'Figure 3']",p13,0.38,2.55,reported
32822290,ExpertTaskforce/2020,"Yokohama, Japan (Diamond Princess cruise ship)","February 5–24, 2020 (quarantine period); cases with onset dates from January 20","2,666 passengers and 1,045 crew members (3,711 total) aboard the Diamond Princess cruise ship",26 pairs of passenger cases in same cabin,Descriptive and analytical statistics; serial interval computed between cases in same cabin; a series interval of 4 days used to assign secondary/tertiary case status within cabins,serial_interval,median,2.0,days,IQR,NR,2.0,4.0,,"Range 0–25 days. 9 of 26 passenger pairs (35%) had serial interval ≥5 days. Among crew, 6 pairs of cases in same cabins with serial intervals of 0, 1, 2, 3, 4, and 5 days (no summary statistic reported for crew).","['Results paragraph 4', 'Abstract']",p13,1.4305,2.5695,derived_from_iqr
